customer_id,customer_name,email,country,signup_date,total_revenue,payment_count,refund_count,average_payment_value,refund_rate,is_active,plan
1,LACEY COLEMAN,delacruzchristopher@example.net,United Kingdom,2025-06-20,1323.00,17,0,77.82,0.0,1,Basic
4,CHRISTINE WILLIAMS,henrykelly@example.net,Canada,,763.00,7,0,109.0,0.0,1,Basic
5,kyle miller,ogallegos@example.net,United Kingdom,2024-06-29,631.00,9,0,70.11,0.0,1,Enterprise
6,Natasha Rice MD,mgarcia@example.com,United Kingdom,2024-10-21,361.00,9,0,40.11,0.0,1,Basic
9,Jennifer Williams,kweber@example.org,Canada,2026-03-28,394.00,6,0,65.67,0.0,1,Basic
12,James Vaughn,zmcknight@example.net,Canada,,1146.00,15,1,76.4,0.0667,1,Enterprise
13,KRISTA FROST,garciadouglas@example.com,United States,2025-07-31,652.00,8,0,81.5,0.0,1,Pro
16,PAMELA WYATT,jaredaguirre@example.org,United States,,1257.00,13,0,96.69,0.0,1,Basic
17,janice phelps,alexajuarez@example.net,United Kingdom,2024-09-01,938.00,12,0,78.17,0.0,1,Pro
18,Jason Vazquez,ppena@example.net,United States,2024-12-20,1444.00,17,1,84.94,0.0588,1,Basic
19,HOLLY GEORGE,ryanalex@example.com,United Kingdom,2024-05-25,324.00,6,0,54.0,0.0,1,Pro
20,brooke campbell,ramosdenise@example.org,Canada,,1253.00,18,1,69.61,0.0556,1,Pro
21,Larry Mosley,wolfekimberly@example.net,United States,2023-08-12,1278.00,12,0,106.5,0.0,1,Pro
22,LORETTA CRAIG,olsoncaleb@example.net,United States,2025-08-17,1034.00,16,0,64.63,0.0,1,Pro
29,jordan howard,rcross@example.org,Canada,2023-10-09,274.00,8,2,34.25,0.25,1,Basic
30,Elizabeth Nelson,sarahthompson@example.org,United States,2024-08-14,1125.00,15,0,75.0,0.0,1,Pro
32,timothy bowman,seanbrown@example.net,Canada,,523.00,8,1,65.38,0.125,1,Pro
36,David Rodriguez,thomas76@example.com,United States,,602.00,8,0,75.25,0.0,1,Basic
37,ALEX GUERRERO,hugheskelli@example.net,United States,2024-04-12,880.00,10,0,88.0,0.0,1,Basic
38,michelle paul,mitchellrobertson@example.net,Canada,2026-05-04,639.00,11,0,58.09,0.0,1,Pro
39,Christopher Hayes,haroldblair@example.net,United Kingdom,2024-11-24,1224.00,16,0,76.5,0.0,1,Enterprise
44,timothy scott,kimberlyjohnson@example.org,Canada,,1083.00,17,0,63.71,0.0,1,Basic
45,Terry Bowers,monica56@example.net,United States,2025-06-16,747.00,13,0,57.46,0.0,1,Basic
